flight,airline_id,source_city_id,destination_city_id,stop_id,class_id,departure_time,arrival_time,duration,days_left,price
SG-8709,1,1,2,1,1,Evening,Night,2.17,1,5953
SG-8157,1,1,2,1,1,Early_Morning,Morning,2.33,1,5953
I5-764,2,1,2,1,1,Early_Morning,Early_Morning,2.17,1,5956
UK-995,3,1,2,1,1,Morning,Afternoon,2.25,1,5955
UK-963,3,1,2,1,1,Morning,Morning,2.33,1,5955
UK-945,3,1,2,1,1,Morning,Afternoon,2.33,1,5955
UK-927,3,1,2,1,1,Morning,Morning,2.08,1,6060
UK-951,3,1,2,1,1,Afternoon,Evening,2.17,1,6060
G8-334,4,1,2,1,1,Early_Morning,Morning,2.17,1,5954
G8-336,4,1,2,1,1,Afternoon,Evening,2.25,1,5954
G8-392,4,1,2,1,1,Afternoon,Evening,2.25,1,5954
G8-338,4,1,2,1,1,Morning,Afternoon,2.33,1,5954
6E-5001,5,1,2,1,1,Early_Morning,Morning,2.17,1,5955
6E-6202,5,1,2,1,1,Morning,Afternoon,2.17,1,5955
6E-549,5,1,2,1,1,Afternoon,Evening,2.25,1,5955
6E-6278,5,1,2,1,1,Morning,Morning,2.33,1,5955
AI-887,6,1,2,1,1,Early_Morning,Morning,2.08,1,5955
AI-665,6,1,2,1,1,Early_Morning,Morning,2.17,1,5955
I5-747,2,1,2,2,1,Evening,Early_Morning,12.25,1,5949
I5-747,2,1,2,2,1,Evening,Morning,16.33,1,5949
G8-266,4,1,2,2,1,Early_Morning,Evening,11.75,1,5954
G8-101,4,1,2,2,1,Early_Morning,Night,14.5,1,5954
G8-103,4,1,2,2,1,Evening,Morning,15.67,1,5954
AI-441,6,1,2,2,1,Evening,Night,3.75,1,5955
6E-5328,5,1,2,1,1,Morning,Morning,2.5,1,6165
UK-933,3,1,2,1,1,Afternoon,Evening,2.17,1,6690
6E-2046,5,1,2,1,1,Evening,Evening,2.17,1,6585
I5-744,2,1,2,2,1,Morning,Afternoon,5.83,1,8869
SG-8169,1,1,2,1,1,Evening,Night,2.33,1,10260
6E-5041,5,1,2,1,1,Evening,Night,2.17,1,10470
G8-165,4,1,2,2,1,Early_Morning,Afternoon,8.0,1,10575
6E-2373,5,1,2,2,1,Afternoon,Evening,6.0,1,10838
UK-813,3,1,2,2,1,Evening,Morning,14.67,1,12150
UK-817,3,1,2,2,1,Evening,Morning,16.17,1,12150
UK-819,3,1,2,2,1,Afternoon,Morning,18.0,1,12150
UK-801,3,1,2,2,1,Morning,Morning,23.17,1,12150
UK-815,3,1,2,2,1,Morning,Morning,24.17,1,12150
AI-453,6,1,2,2,1,Early_Morning,Afternoon,8.83,1,11900
SG-2976,1,1,2,2,1,Evening,Night,4.5,1,12123
SG-2976,1,1,2,2,1,Evening,Morning,15.25,1,12123
AI-504,6,1,2,2,1,Night,Morning,11.0,1,12150
AI-502,6,1,2,2,1,Afternoon,Morning,19.08,1,12150
AI-506,6,1,2,2,1,Morning,Morning,22.83,1,12150
AI-803,6,1,2,2,1,Early_Morning,Morning,26.42,1,12150
AI-479,6,1,2,2,1,Night,Afternoon,17.75,1,12215
SG-339,1,1,2,2,1,Evening,Afternoon,19.58,1,12230
UK-955,3,1,2,1,1,Evening,Night,2.33,1,12780
